"","t","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31","J32","J33","J34","J35","J36","J37","J38","J39","J40","J41","J42","J43","J44","J45","J46","J47","J48","J49","J50","J51","J52","J53","J54","J55","J56","J57","J58","J59","J60","J61","J62","J63","J64","J65","J66","J67","J68","J69","J70","J71","J72","J73","J74","J75","J76","J77","J78","J79","J80","J81","J82","J83","J84","J85","J86","J87","J88","J89","J90","J91","J92","J93","J94","J95","J96","J97","J98","J99"
"1",1,0.08212,0.0516866666666667,0.09782,0.0742466666666667,0.10112,0.0638533333333333,0.10212,0.0886533333333333,0.0766866666666667,0.08052,0.08348,0.03164,0.0279066666666667,0.0504066666666667,0.0433066666666667,0.0386066666666667,0.11648,0.0475066666666667,0.05794,0.0727066666666667,0.07384,0.09174,0.0798733333333333,0.0911066666666667,0.07934,0.0924066666666667,0.0755733333333333,0.0768066666666667,0.0913066666666667,0.10634,0.11624,0.078875,0.110006666666667,0.0474003333333333,0.03927,0.0545366666666667,0.0542033333333333,0.0688366666666667,0.07747,0.0688366666666667,0.0921366666666667,0.0790666666666667,0.0894416666666667,0.0927333333333333,0.0907666666666667,0.0719666666666667,0.0713666666666667,0.0802,0.0769666666666667,0.110541666666667,0.0774333333333333,0.102646666666667,0.100546666666667,0.123346666666667,0.0905333333333333,0.0951,0.0869,0.105933333333333,0.0764,0.1078,0.0900833333333333,0.1003,0.0937333333333333,0.111466666666667,0.0919,0.0853566666666667,0.0735333333333333,0.0781333333333333,0.0793,0.0815666666666667,0.10225,0.0825666666666667,0.0865003333333333,0.0862336666666667,0.0922,0.0781366666666667,0.0639366666666667,0.07907,0.107267,0.08028,0.0763033333333333,0.0833366666666667,0.0913133333333333,0.102636666666667,0.0942366666666667,0.10194,0.0884233333333333,0.08529,0.0888233333333333,0.126367,0.08119,0.0854066666666667,0.10558,0.103956666666667,0.07535,0.0943566666666667,0.0808733333333334,0.0915566666666667,0.0964566666666667
"2",2,0.0638733333333333,0.0631066666666667,0.08714,0.07744,0.0778066666666667,0.06764,0.09494,0.09444,0.0953066666666667,0.09104,0.0829733333333333,0.0906266666666667,0.0919933333333333,0.0915266666666667,0.0993933333333333,0.05446,0.112473333333333,0.0503266666666667,0.0785266666666667,0.0695266666666667,0.08726,0.0844933333333333,0.04074,0.0386733333333333,0.0437733333333333,0.09524,0.05424,0.0816066666666667,0.06594,0.13204,0.0751733333333333,0.0799666666666667,0.05454,0.0801866666666667,0.0635533333333333,0.08572,0.07182,0.08812,0.112353333333333,0.0717533333333333,0.112353333333333,0.0735,0.0891666666666667,0.0903,0.0868333333333333,0.0876,0.0846,0.0924333333333333,0.0931,0.107233333333333,0.0767666666666667,0.0865526666666667,0.089186,0.109919333333333,0.0870666666666667,0.0780666666666667,0.0740666666666667,0.0936,0.0813666666666667,0.0967,0.0804133333333333,0.0838,0.0815333333333333,0.0916333333333333,0.0782,0.0906166666666667,0.0807333333333333,0.0824666666666667,0.0843666666666667,0.0828,0.0969133333333333,0.0818,0.08842,0.09442,0.0925666666666667,0.0801233333333333,0.07009,0.07719,0.109786666666667,0.0641,0.07779,0.0744233333333333,0.0757333333333333,0.105423333333333,0.09069,0.100233,0.0895833333333333,0.0806833333333333,0.0905833333333333,0.133286666666667,0.0840833333333333,0.097733,0.101966666666667,0.09635,0.0696133333333333,0.08235,0.0818996666666667,0.0846166666666667,0.0879166666666667
"3",4,0.0811933333333333,0.0880266666666667,0.0842266666666667,0.0801933333333334,0.09306,0.0855933333333333,0.0936266666666667,0.102926666666667,0.09836,0.0987266666666667,0.0876933333333333,0.0803733333333333,0.112673333333333,0.0657066666666667,0.0932066666666667,0.0600733333333333,0.118026666666667,0.0585733333333333,0.0822066666666667,0.0718066666666667,0.0768733333333333,0.0917066666666667,0.0676066666666667,0.07534,0.0663066666666667,0.0887733333333333,0.07414,0.0726733333333333,0.08934,0.08524,0.0980733333333333,0.113858333333333,0.0863066666666667,0.134950333333333,0.123583666666667,0.127350333333333,0.128550333333333,0.103484666666667,0.157483666666667,0.0899866666666667,0.147283666666667,0.0839,0.108691666666667,0.098,0.0963333333333333,0.0960333333333333,0.0862666666666667,0.116366666666667,0.0923333333333333,0.123991666666667,0.0870666666666667,0.131833333333333,0.121366666666667,0.125,0.0927333333333333,0.0804333333333333,0.0763333333333333,0.0873666666666667,0.0922966666666667,0.0963666666666667,0.0869503333333334,0.0904,0.0901,0.0943,0.0862666666666667,0.08526,0.0867966666666667,0.0879966666666667,0.0899966666666667,0.0900966666666667,0.100817,0.0890633333333333,0.09512,0.100053333333333,0.0960633333333333,0.0727266666666667,0.0718933333333333,0.07396,0.11572,0.0916163333333333,0.08046,0.0769266666666667,0.097983,0.0996933333333333,0.0910933333333333,0.0947133333333333,0.09356,0.0828933333333333,0.0927933333333333,0.144583666666667,0.07976,0.09338,0.114783,0.0930266666666667,0.0796503333333334,0.09256,0.0782133333333333,0.08576,0.0850933333333333
"4",6,0.114433333333333,0.0996,0.155133333333333,0.0870266666666667,0.1634,0.0926,0.158033333333333,0.1076,0.161033333333333,0.0948,0.0849933333333333,0.06668,0.0721133333333333,0.0645133333333333,0.0695466666666667,0.0673133333333333,0.105793333333333,0.0675133333333333,0.0750133333333333,0.0795466666666667,0.0810466666666667,0.09208,0.0832266666666667,0.101293333333333,0.0760266666666667,0.0926266666666667,0.0778933333333333,0.0740266666666667,0.101293333333333,0.0944266666666667,0.107593333333333,0.08765,0.0805933333333333,0.0835496666666667,0.0794133333333333,0.0975133333333333,0.0781466666666667,0.08868,0.0894133333333333,0.08248,0.101948666666667,0.0871333333333333,0.0925166666666667,0.0988333333333333,0.0937333333333333,0.0913666666666667,0.0843,0.0947,0.1043,0.105516666666667,0.0940333333333333,0.1064,0.0995666666666667,0.1136,0.0915333333333333,0.0831333333333333,0.0772,0.0895333333333333,0.0871866666666667,0.0989333333333333,0.0899333333333333,0.0910666666666667,0.0888666666666667,0.0998,0.0855666666666667,0.0965866666666667,0.08602,0.08742,0.09122,0.08942,0.101466666666667,0.0888533333333333,0.0949666666666667,0.0943,0.09792,0.0727933333333333,0.07826,0.0776933333333333,0.112266666666667,0.0886933333333333,0.0833933333333333,0.07876,0.0945933333333333,0.102093333333333,0.0906266666666667,0.115283333333333,0.106653333333333,0.08872,0.0958866666666667,0.111516333333333,0.08252,0.08725,0.10516,0.0855866666666667,0.0836333333333334,0.101086666666667,0.08445,0.08222,0.0803533333333333
"5",8,0.07546,0.07446,0.0816266666666667,0.0792333333333333,0.08466,0.0816266666666667,0.0886266666666667,0.0911266666666667,0.10096,0.09296,0.0797,0.0676466666666667,0.06638,0.0752466666666667,0.07948,0.0764133333333333,0.102066666666667,0.0786133333333333,0.0826466666666667,0.08598,0.08588,0.09668,0.104186666666667,0.0970866666666667,0.107386666666667,0.100686666666667,0.0889533333333333,0.0930533333333333,0.124953333333333,0.0939866666666667,0.12712,0.0803003333333333,0.0791533333333333,0.0767333333333333,0.0771333333333333,0.087,0.0849333333333333,0.0827666666666667,0.0922666666666667,0.0824,0.0971666666666667,0.0898333333333333,0.0867003333333333,0.103033333333333,0.094,0.0694333333333333,0.0828,0.0757,0.128166666666667,0.100633666666667,0.104433333333333,0.05208,0.09148,0.107846666666667,0.1028,0.0799,0.0741333333333333,0.0843666666666667,0.09804,0.0902333333333333,0.09195,0.0869,0.0885333333333333,0.105833333333333,0.0838,0.0911333333333333,0.0943933333333333,-0.10314,-0.10314,0.09186,0.0988166666666667,0.0940266666666667,0.0821666666666667,0.0860333333333334,0.09936,0.0829433333333333,0.08101,0.08151,0.100866666666667,0.0778133333333333,0.0835766666666667,0.07671,0.0897466666666667,0.10561,0.0921766666666667,0.09652,0.0826666666666667,0.0775,0.0797666666666667,0.105466666666667,0.0799,0.0718866666666667,0.10138,0.0912666666666667,0.0817833333333333,0.0766333333333333,0.0667533333333333,0.0819,0.0814
"6",10,0.06752,0.0534866666666667,0.0757866666666667,0.0773166666666667,0.0557866666666667,0.06662,0.0604866666666667,0.10012,0.07032,0.10262,0.08255,0.07122,0.0679533333333333,0.0836533333333333,0.101253333333333,0.07992,0.10555,0.08232,0.0848533333333333,0.08882,0.08722,0.110486666666667,0.07088,0.0831466666666667,0.06618,0.11938,0.0758466666666667,0.09638,0.08338,0.110546666666667,0.0969133333333333,0.0822266666666667,0.07098,0.0805166666666667,0.0739833333333333,0.0776166666666667,0.0777166666666667,0.08965,0.101483333333333,0.0923833333333333,0.0931166666666667,0.0854666666666667,0.0882933333333333,0.0977666666666667,0.0823666666666667,0.0873,0.0922666666666667,0.0983,0.0895,0.105426666666667,0.0902333333333333,0.06374,0.103473333333333,0.108706666666667,0.0977,0.0787333333333333,0.0789666666666667,0.124266666666667,0.0917666666666667,0.123133333333333,0.09526,0.108633333333333,0.112433333333333,0.1375,0.0866,0.0922166666666667,0.0922333333333333,0.0883666666666667,0.0938,0.0907,0.0983933333333333,0.0937,0.081933,0.0873996666666667,0.0989333333333333,0.0818666666666667,0.0756333333333333,0.0790666666666667,0.102033,0.0841266666666667,0.0869333333333333,0.0808666666666667,0.108526666666667,0.1025,0.0912333333333333,0.0972933333333333,0.0991166666666667,0.0834833333333333,0.09295,0.0998833333333333,0.09115,0.0704933333333333,0.104026666666667,0.0904833333333333,0.08846,0.0844833333333333,0.06626,0.08345,0.0846833333333333
"7",12,0.0783133333333333,0.07528,0.17158,0.07708,0.08708,0.0851133333333333,0.0909133333333333,0.117313333333333,0.111746666666667,0.127913333333333,0.0813466666666667,0.0904466666666667,0.0917133333333333,0.12068,0.224413333333333,0.0847466666666667,0.09888,0.0841133333333333,0.0870133333333333,0.0880466666666667,0.08878,0.162813333333333,0.0774466666666667,0.07988,0.0794133333333333,0.112813333333333,0.120746666666667,0.08488,0.08868,0.0924466666666667,0.144813333333333,0.079383,0.10368,0.104116333333333,0.0823133333333333,0.0894466666666667,0.0827133333333333,0.110049666666667,0.145683,0.129149666666667,0.0897466666666667,0.0765333333333333,0.0846163333333333,0.0893666666666667,0.0863,0.0851,0.0972333333333333,0.105733333333333,0.0920666666666667,0.0992163333333333,0.0922666666666667,0.0830666666666667,0.102433333333333,0.111133333333333,0.121266666666667,0.0770333333333333,0.0798333333333333,0.0967333333333333,0.09189,0.0941666666666667,0.0979166666666667,0.1014,0.0997,0.0992333333333333,0.103566666666667,0.0983766666666667,0.09579,0.0868566666666667,0.09369,0.08759,0.0957833333333333,0.09089,0.0907133333333334,0.10128,0.0987566666666667,0.0769933333333333,0.0796266666666667,0.07346,0.108713333333333,0.114666333333333,0.08946,0.07086,0.136466333333333,0.105026666666667,0.0897266666666667,0.0998533333333333,0.08341,0.0839433333333333,0.08811,0.100616333333333,0.09291,0.07422,0.119699666666667,0.0950766666666667,0.09445,0.0830433333333333,0.07072,0.08661,0.0895766666666667
"8",16,0.07152,0.0706533333333333,1.29922,0.0747533333333333,0.07962,0.07732,0.08372,0.252086666666667,0.173253333333333,0.475053333333333,0.0792866666666667,0.0748833333333333,0.0715166666666667,0.554816666666667,0.99485,0.08415,0.09792,0.0868833333333333,0.09055,0.08985,0.09285,0.727383333333333,0.0685533333333333,0.0714533333333333,0.0719533333333333,0.240386666666667,0.58172,0.07802,0.0852533333333333,0.106453333333333,0.91092,0.075383,0.78352,0.985016333333333,0.0958133333333333,0.299216333333333,0.0981143333333333,0.594749666666667,0.578049666666667,0.797083,0.0941133333333333,0.1186,0.0890496666666667,0.0760666666666667,0.0973333333333333,0.0877,0.1312,0.2337,0.146733333333333,0.109883,0.130133333333333,0.712586666666667,0.276286666666667,0.164953333333333,0.359233333333333,0.0698666666666667,0.0985666666666667,0.162933333333333,0.167213333333333,0.3367,0.159753333333333,0.274166666666667,0.181833333333333,0.0986,0.1837,0.141793333333333,0.52908,0.08828,0.112546666666667,0.08928,0.100553333333333,0.08858,0.266916666666667,0.263116666666667,0.108113333333333,0.160726666666667,0.105926666666667,0.10696,0.199483333333333,0.37736,0.319793333333333,0.07686,0.623726666666667,0.172993333333333,0.08976,0.12138,0.07696,0.0811933333333333,0.0832266666666667,0.103515333333333,0.08936,0.0831133333333333,0.340793333333333,0.0947266666666667,0.27522,0.0926933333333333,0.0810133333333333,0.0865266666666667,0.0904933333333333
"9",20,0.06898,0.0822133333333333,1.42204666666667,0.0813466666666667,0.0657133333333333,0.106346666666667,0.0537466666666667,0.743613333333333,0.421746666666667,1.32121333333333,0.0782466666666667,0.107206666666667,0.11064,1.21574,1.33017333333333,0.126773333333333,0.104113333333333,0.10864,0.104573333333333,0.0993733333333333,0.10294,1.25847333333333,0.148946666666667,0.127146666666667,0.16968,0.764513333333333,1.14341333333333,0.150746666666667,0.180113333333333,0.177313333333333,1.34028,0.088117,1.35014666666667,1.52026666666667,0.102666666666667,1.3152,0.109033333333333,1.27893333333333,1.06603333333333,1.33343333333333,0.127833333333333,0.4977,0.107050333333333,0.159733333333333,0.0880333333333333,0.0996333333333333,0.5437,0.974466666666667,0.0971,0.299150333333333,0.114866666666667,1.35473333333333,1.40306666666667,1.14973333333333,0.768466666666667,0.0857333333333333,0.552766666666667,0.639566666666667,0.931916666666667,1.10596666666667,0.818293333333333,1.22203333333333,0.877266666666667,0.258233333333333,1.11903333333333,0.59295,1.37425,0.09075,0.35125,0.12435,0.110293333333333,0.08565,0.57784,1.09070666666667,0.110883333333333,0.90514,0.466773333333333,0.54824,1.24954,0.747146666666667,1.02877333333333,0.0779066666666667,1.34849333333333,0.709873333333333,0.0887733333333333,0.265666666666667,0.09515,0.0950166666666667,0.08765,0.114133333333333,0.111883333333333,0.0793666666666667,1.30426,0.09875,1.02749333333333,0.294383333333333,0.0814333333333333,0.0878833333333333,0.0880166666666667
"10",24,0.0907933333333333,0.0887266666666667,1.63442666666667,0.08514,0.09476,0.0925933333333333,0.0961933333333333,0.89226,0.622726666666667,1.57286,0.09154,0.163991666666667,0.137058333333333,1.543125,1.53295833333333,0.153058333333333,0.106173333333333,0.128325,0.144825,0.120158333333333,0.125391666666667,1.50925833333333,0.0544466666666667,0.0718133333333333,0.05828,0.84168,1.41868,0.0631133333333333,0.0768466666666667,0.0864133333333333,1.46368,0.097,1.55608,1.56598,0.107649666666667,1.42844966666667,0.109182,1.25791633333333,1.25711633333333,1.48291633333333,0.0934466666666667,0.935033333333333,0.153733333333333,0.115133333333333,0.1362,0.305933333333333,1.31273333333333,1.23726666666667,0.1068,1.34506666666667,0.3498,1.49396,1.63406,1.46719333333333,1.00543333333333,0.0792666666666667,1.16673333333333,0.9746,1.33960333333333,1.43706666666667,1.46264666666667,1.45486666666667,1.2502,0.657066666666667,1.1787,1.16325666666667,1.59910333333333,0.206103333333333,1.45460333333333,0.875103333333333,0.108346666666667,0.0932366666666667,0.848366666666667,1.24386666666667,0.33817,1.23182,0.964953333333333,1.41762,1.48606666666667,0.812626666666667,1.47928666666667,0.07782,1.52504166666667,1.12072,0.09092,1.05403333333333,0.143523333333333,0.08509,0.08699,0.102682,0.348956666666667,0.117666666666667,1.52364166666667,0.0972566666666667,1.36738,1.14505666666667,0.0783333333333333,0.08849,0.09819
