"","t","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"1",1,0.134233333333333,0.124533333333333,0.123433333333333,0.0648466666666667,0.0913666666666667,0.0777333333333333,0.117633333333333,0.0879666666666667,0.111166666666667,0.1082,0.07568,0.1045,0.1115,0.114133333333333,0.110933333333333,0.127266666666667,0.09928,0.117266666666667,0.123033333333333,0.124866666666667,0.112528570666667,0.114833333333333,0.115528570333333,0.115095237333333,0.114861904,0.105361904333333,0.2139,0.101828571,0.121633333333333,0.0708904733333333,0.1063,0.0711083333333333,0.0945666666666667,0.0834,0.099628571,0.0816,0.107128570666667,0.104033333333333,0.112028570333333,0.1133,0.109123808666667,0.0783333333333333,0.0792416666666667,0.0789,0.0792333333333333,0.0824,0.0797,0.0805,0.0851333333333333,0.0910416666666667,0.0894,0.0814133333333333,0.0845133333333333,0.09238,0.08446,0.08724,0.08914,0.09054,0.0879833333333333,0.0958733333333333,0.07725,0.0779833333333333,0.07935,0.0817166666666667,0.0788833333333333,0.0933266666666667,0.0858166666666667,0.0840833333333333,0.0851833333333333,0.0936833333333333,0.09055,0.08826,0.080167,0.080167,0.0935266666666667,0.08996,0.08816,0.0897933333333333,0.093767,0.09536,0.09476,0.0962933333333333,0.0787133333333333,0.0838266666666667,0.0835,0.08884,0.0771,0.0813666666666667,0.0787333333333333,0.0979266666666667,0.0848,0.06864,0.09098,0.0916266666666667,0.0689833333333334,0.0813666666666667,0.0773066666666667,0.0816666666666667,0.0842
"2",2,0.103233333333333,0.124871,0.1019,0.06784,0.0900666666666667,0.0867,0.0955666666666667,0.0929,0.0900666666666667,0.0874333333333333,0.0760733333333333,0.0843333333333333,0.0964,0.0833333333333333,0.0656033333333333,0.0909,0.10124,0.0678366666666667,0.0689366666666667,0.0727033333333333,0.05514762,0.0832,0.0495809566666667,0.0519809566666667,0.0534476233333333,0.0493142866666667,0.111466666666667,0.0484142866666667,0.0972666666666667,0.178420833333333,0.100133333333333,0.0698666666666667,0.111766666666667,0.0846333333333333,0.0563809533333333,0.0875333333333333,0.0628476233333334,0.142,0.094514286,0.1139,0.1319875,0.0856333333333333,0.0775666666666667,0.0850666666666667,0.085,0.0879,0.0869333333333333,0.0903666666666667,0.0915333333333333,0.0874666666666667,0.0943,0.066186,0.0769193333333334,0.0857193333333334,0.0848,0.0794866666666667,0.0763533333333333,0.0815533333333333,0.08888,0.09322,0.0710466666666667,0.08048,0.0841466666666667,0.08458,0.0827133333333333,0.0935,0.0889133333333333,0.08438,0.08828,0.09268,0.0841133333333333,0.08896,0.07932,0.0847533333333333,0.0905266666666667,0.0932266666666667,0.08866,0.0909933333333333,0.09702,0.0983266666666667,0.0955933333333333,0.0982933333333333,0.0650333333333333,0.0842666666666667,0.0866333333333333,0.0940663333333333,0.0855,0.0876,0.0869,0.0979333333333333,0.0910666666666667,0.071733,0.0812333333333333,0.0921666666666667,0.06608,0.085,0.0852996666666667,0.0893333333333333,0.0912
"3",4,0.1136,0.150195666666667,0.105533333333333,0.0726933333333333,0.0985666666666667,0.0906333333333333,0.0963666666666667,0.0978,0.0897333333333333,0.0854333333333333,0.08116,0.0984666666666667,0.269666666666667,0.0853,0.07413,0.235433333333333,0.105526666666667,0.0797633333333333,0.08513,0.0795966666666667,0.178499996666667,0.094,0.111899996666667,0.127166663333333,0.119199996666667,0.108399998666667,0.172866666666667,0.108266665333333,0.186166666666667,0.461554166666667,0.177395236666667,0.105725,0.164166666666667,0.121261903333333,0.112299997666667,0.13162857,0.122299996666667,0.227133333333333,0.13633333,0.186195236666667,0.146420833333333,0.0851766666666667,0.100025,0.0894766666666667,0.08691,0.0880766666666667,0.0873433333333333,0.10961,0.10741,0.113325,0.09371,0.099,0.1041,0.103033333333333,0.0900933333333333,0.0996466666666667,0.11888,0.0886466666666667,0.0893633333333333,0.0963133333333333,0.0787836666666667,0.0819633333333333,0.0839966666666667,0.0859966666666667,0.0847633333333333,0.0947933333333333,0.08953,0.0847633333333333,0.0895966666666667,0.0941633333333333,0.0912503333333333,0.08608,0.0879866666666667,0.09062,0.0879133333333333,0.0981133333333333,0.0858133333333333,0.08968,0.104153333333333,0.0960466666666667,0.0962133333333333,0.09758,0.0906163333333333,0.08576,0.0856466666666667,0.0881466666666667,0.0838466666666667,0.0903133333333333,0.0871466666666667,0.11016,0.09158,0.08888,0.102383,0.0928933333333333,0.0793836666666667,0.08928,0.08298,0.09028,0.0915133333333333
"4",6,1.0918,0.591029,0.161333333333333,0.0924266666666667,0.1817,0.115466666666667,0.120633333333333,0.1287,0.133433333333333,0.108166666666667,0.0936266666666667,0.252833333333333,0.8819,0.134633333333333,0.0995293333333333,0.981033333333333,0.116293333333333,0.131629,0.199462333333333,0.0737966666666667,0.71215,0.205766666666667,0.163583336666667,0.366050033333333,0.181850013333333,0.116950002333333,0.172633333333333,0.163783336666667,0.991766666666667,0.9697625,0.495866666666667,0.130783333333333,0.100933333333333,0.1988,0.119183335666667,0.301033333333333,0.168416663333333,0.6128,0.11611667,0.386966666666667,0.800295833333333,0.0923633333333333,0.0856833333333333,0.14543,0.09993,0.0905966666666667,0.09003,0.20593,0.38163,0.09235,0.09583,0.0924,0.0916333333333334,0.0950666666666667,0.0869266666666667,0.19833,0.490596666666667,0.0913966666666667,0.09111,0.110763333333333,0.0855666666666667,0.0867766666666667,0.0956433333333333,0.09061,0.08771,0.0947266666666667,0.0901433333333333,0.0862766666666667,0.08651,0.10411,0.0969666666666667,0.0919333333333333,0.0906,0.0891333333333333,0.0881333333333333,0.163666666666667,0.0876666666666667,0.0933,0.105566666666667,0.0975333333333333,0.0982333333333333,0.0983,0.0902266666666667,0.0866266666666667,0.0853933333333333,0.101583333333333,0.0856266666666667,0.120393333333333,0.104626666666667,0.213126666666667,0.08916,0.08675,0.0985933333333333,0.0932933333333333,0.0799,0.0806266666666667,0.104883333333333,0.100126666666667,0.08986
"5",8,1.36083333333333,1.01803333333333,0.419433333333333,0.2114,0.4444,0.2072,0.1843,0.196933333333333,0.315166666666667,0.1186,0.231066666666667,0.8542,1.18233333333333,0.310833333333333,0.2007,1.19933333333333,0.233333333333333,0.301366666666667,0.840466666666667,0.339,0.88184,0.5089,0.457273333333333,0.760273333333333,0.436206666666667,0.124973333333333,0.642966666666667,0.683006666666667,1.1717,1.12013333333333,1.209871,0.451633666666667,0.1311,0.797404733333333,0.22334,1.04210473333333,0.54234,0.901266666666667,0.136306666666667,1.114771,1.11786666666667,0.119323333333333,0.089667,0.328623333333333,0.17039,0.0944566666666667,0.09849,0.433023333333333,1.09872333333333,0.0967003333333333,0.10059,0.08128,0.08538,0.09728,0.0939066666666667,0.53357,0.67597,0.103036666666667,0.0737333333333333,0.18467,0.08945,0.0686333333333334,0.0954,0.0697,0.0706333333333333,0.104906666666667,0.0768,0.0692666666666667,0.0718333333333333,0.103,0.0932833333333333,0.12296,0.107366666666667,0.0850333333333334,0.0976933333333333,0.399426666666667,0.09476,0.109093333333333,0.0993333333333333,0.0971266666666667,0.115726666666667,0.10216,0.0837466666666667,0.10094,0.130226666666667,0.108986666666667,0.14136,0.297326666666667,0.233093333333333,0.67704,0.275126666666667,0.08152,0.115846666666667,0.14294,0.07955,0.0936266666666667,0.15742,0.229726666666667,0.09646
"6",10,1.4962,1.24718,1.14263333333333,0.87985,0.7558,0.391066666666667,0.347766666666667,0.437166666666667,0.976333333333333,0.2006,0.757683333333333,1.2276,1.2129,0.766233333333333,1.01681333333333,1.42883333333333,0.99655,0.716713333333333,1.30624666666667,1.08228,0.986516633333333,0.978066666666667,0.788250033333333,0.881216666666667,0.660616666666667,0.190216653333333,1.3329,1.10281643333333,1.40346666666667,1.09193346666667,1.427314,0.618326666666667,0.271,1.374914,0.691183333333333,1.27704733333333,0.886383366666667,1.13433333333333,0.274949966666667,1.25044733333333,1.360167,0.266323333333333,0.12976,0.94069,0.58749,0.118323333333333,0.18429,0.960623333333333,1.30392333333333,0.16596,0.13479,0.10774,0.103173333333333,0.161806666666667,0.0955733333333333,1.07173,0.74573,0.143196666666667,0.046,0.464163333333333,0.153393333333333,0.0375,0.171766666666667,0.0253333333333333,0.0335,0.13294,0.0421333333333333,0.0697,0.0372666666666667,0.3015,0.10586,0.207866666666667,0.430166333333333,0.126633,0.1531,0.857266666666667,0.117633333333333,0.1562,0.198466333333333,0.1008,0.184633333333333,0.1069,0.177926666666667,0.115173333333333,0.2538,0.18136,0.3141,0.6043,0.5705,1.03254,0.581466666666667,0.108693333333333,0.486126666666667,0.26004,0.102426666666667,0.127666666666667,0.42446,0.474633333333333,0.117033333333333
"7",12,1.551,1.37052,1.3491,1.09881333333333,1.04633333333333,0.4688,0.605266666666667,0.7725,1.3251,0.3925,0.94138,1.29713333333333,1.3976,1.29813333333333,1.41675333333333,1.6332,1.31511333333333,0.91462,1.40298666666667,1.25012,1.0999,1.23346666666667,1.17196666666667,1.0358,0.8149,0.402666666666667,1.38403333333333,1.36773333333333,1.40566666666667,1.1686,1.50328066666667,0.969616333333333,0.5945,1.50208066666667,1.27766666666667,1.42628066666667,1.09776666666667,1.34776666666667,0.702266666666667,1.50588066666667,1.40256666666667,0.60537,0.339049666666667,1.27827,1.21493666666667,0.221203333333333,0.55417,1.19537,1.46237,0.645749666666667,0.284603333333333,0.2639,0.191733333333333,0.537166666666667,0.120993333333333,1.20671,0.87191,0.367243333333333,0.192683333333333,1.16351,0.615583333333333,0.12625,0.635116666666667,0.02365,0.0661166666666667,0.210526666666667,0.158116666666667,0.310783333333333,0.0920166666666667,1.06195,0.178583333333333,0.400226666666667,0.89208,0.34238,0.288026666666667,1.14820666666667,0.167893333333333,0.30806,0.880113333333333,0.106726666666667,0.37896,0.134793333333333,0.721666333333333,0.15366,0.46248,0.53882,0.645846666666667,0.88238,1.08844666666667,1.06516,0.698813333333333,0.326053333333333,1.212633,0.40196,0.22895,0.22208,0.900053333333333,0.78728,0.181246666666667
"8",16,1.61853333333333,1.40722,1.4891,1.34618666666667,1.3653,0.595833333333333,0.816133333333333,1.06283333333333,1.4258,1.3963,0.974986666666667,1.41203333333333,1.50503333333333,1.4908,1.55038666666667,1.676,1.42475333333333,1.15135333333333,1.48092,1.52662,1.29596233333333,1.4386,1.29716233333333,1.32649566666667,1.1182954,0.763695266666667,1.5686,1.54049566666667,1.51266666666667,1.27643333333333,1.633017,1.603683,0.809833333333333,1.56498366666667,1.49189566666667,1.48798366666667,1.32839566666667,1.46586666666667,1.07209516666667,1.505917,1.4566,1.03670333333333,1.085183,1.53047,1.34683666666667,0.807903333333333,1.28850333333333,1.43180333333333,1.44107,1.50874966666667,1.03043666666667,1.16138666666667,1.01985333333333,1.46632,0.37984,1.23974433333333,1.067111,1.21944433333333,1.27929666666667,1.31107766666667,1.31128666666667,1.01436333333333,1.26033,0.143596666666667,0.822096666666667,0.676806666666667,0.964096666666667,0.832963333333333,0.981563333333333,1.37246333333333,0.89002,1.07626666666667,1.35475,1.17161666666667,0.809133333333333,1.16818,0.5662,1.17893333333333,1.50838333333333,0.215133333333333,1.15106666666667,0.227666666666667,1.16006,0.38864,1.02958,1.11691333333333,1.18179333333333,1.00816,1.17412666666667,1.18020666666667,0.885493333333333,0.96798,1.37782666666667,0.64564,1.09435333333333,0.85006,1.10821333333333,1.02526,0.738226666666667
"9",20,1.6903,1.42240033333333,1.64533333333333,1.53078,1.5309,0.634366666666667,1.22976666666667,1.41023333333333,1.6031,1.51903333333333,0.978846666666667,1.5445,1.59246666666667,1.53846666666667,1.57150033333333,1.70973333333333,1.46911333333333,1.37800033333333,1.48270033333333,1.56903366666667,1.552886,1.5509,1.385686,1.601586,1.33035266666667,0.9966857,1.6738,1.649186,1.59373333333333,1.40336666666667,1.7073,1.60038366666667,1.1968,1.66216666666667,1.53585266666667,1.57856666666667,1.557086,1.61063333333333,1.30461933333333,1.68446666666667,1.55883333333333,1.18829333333333,1.40775033333333,1.60776,1.46946,1.19329333333333,1.43262666666667,1.53879333333333,1.50489333333333,1.58168366666667,1.35702666666667,1.49516666666667,1.44823333333333,1.658,0.75894,1.37112266666667,1.23782266666667,1.26328866666667,1.546278,1.34869966666667,1.62176,1.46234466666667,1.47621133333333,0.663611333333333,1.41681133333333,1.17454,1.43584466666667,1.400878,1.51624466666667,1.56951133333333,1.39782666666667,1.29964666666667,1.45267333333333,1.32754,1.01028,1.2587,1.08048,1.33328,1.56394,0.491246666666667,1.21014666666667,0.497546666666667,1.48582666666667,0.82814,1.01316,1.3629,1.23098,1.11918666666667,1.19838666666667,1.24890666666667,1.04878,1.3109,1.55492666666667,0.805773333333333,1.55596,1.00315333333333,1.3513,1.15168666666667,0.930653333333333
"10",24,1.63136666666667,1.47756633333333,1.63246666666667,1.60247333333333,1.60943333333333,0.666066666666667,1.35653333333333,1.67233333333333,1.57653333333333,1.54783333333333,0.991473333333333,1.58413333333333,1.5786,1.58936666666667,1.686333,1.64593333333333,1.47074,1.494533,1.471733,1.49516633333333,1.68597033333333,1.56433333333333,1.38193766666667,1.723071,1.44133766666667,1.09457116666667,1.6988,1.71003733333333,1.63123333333333,1.50188,1.71413333333333,1.7313,1.4541,1.6698,1.53697066666667,1.58783333333333,1.640004,1.63256666666667,1.48273766666667,1.68036666666667,1.51414666666667,1.40334,1.56856666666667,1.64724,1.52894,1.34100666666667,1.50370666666667,1.55716333333333,1.52440666666667,1.69896666666667,1.47113,1.66122666666667,1.58506,1.72869333333333,0.99036,1.42102266666667,1.34089066666667,1.27002266666667,1.64316666666667,1.32855533333333,1.69208,1.59356666666667,1.53897733333333,0.9789,1.62283333333333,1.26419333333333,1.52406666666667,1.49613333333333,1.6991,1.58726666666667,1.53221333333333,1.43343333333333,1.6026,1.37146666666667,1.06523333333333,1.24542666666667,1.17216666666667,1.4139,1.60916666666667,0.7664,1.288,0.789533333333333,1.60994166666667,1.15746,1.14065333333333,1.4279,1.27628,1.24888,1.31054666666667,1.2695,1.19221333333333,1.42436666666667,1.644675,1.01756,1.69558,1.07591333333333,1.43403333333333,1.19084666666667,1.01068
