"","t","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1",1,0.113866666666667,0.126719333333333,0.1404,0.129453333333333,0.0949666666666667,0.1001,0.152866666666667,0.102733333333333,0.142633333333333,0.1389,0.0792466666666667,0.141033333333333,0.101,0.131866666666667,0.162519333333333,0.116233333333333,0.100643333333333,0.155852666666667,0.146252666666667,0.130286,0.104666666666667,0.1188,0.11281429,0.113580954,0.123780953333333,0.124714286666667,0.115033333333333,0.130847623333333,0.0760333333333333,0.107223808666667,0.115990474333333,0.0726083333333333,0.129266666666667,0.0980238096666667,0.14241429,0.106623808666667,0.141614286666667,0.00293333333333333,0.12991429,0.111523808666667,0.111523808666667,0.08899,0.083175,0.08549,0.0843233333333333,0.0869233333333333,0.0867233333333333,0.08569,0.0851566666666667,0.0977083333333333,0.0915233333333333,0.10378,0.09488,0.104913333333333,0.0891933333333333,0.10042,0.0914533333333333,0.09232,0.0935333333333333,0.0959533333333333,0.08075,0.0947,0.0972333333333333,0.0921666666666667,0.0953,0.105026666666667,0.0973666666666667,0.0948333333333333,0.0960333333333333,0.0929333333333333,0.0995166666666667,0.0787533333333333,0.0832003333333333,0.0824336666666667,0.0794866666666667,0.0765866666666667,0.0808533333333333,0.0799866666666667,0.094967,0.08242,0.0937533333333333,0.0905533333333333,0.0818466666666667,0.0939266666666667,0.0885333333333333,0.09304,0.0953933333333333,0.0913666666666667,0.0932933333333333,0.0979266666666667,0.09276,0.07864,0.0942466666666667,0.0902266666666667,0.0698833333333334,0.0816933333333333,0.0820066666666667,0.0931,0.0996
"2",2,0.114166666666667,0.131437666666667,0.0847333333333333,0.07324,0.1164,0.1227,0.0579666666666667,0.107133333333333,0.0541,0.0596666666666667,0.07884,0.0598666666666667,0.138933333333333,0.0589333333333333,0.150204333333333,0.123733333333333,0.0956066666666667,0.153771,0.142204333333333,0.0998373333333333,0.181033333333333,0.0567,0.203852366666667,0.200852373333333,0.208019043333333,0.20551904,0.111533333333333,0.201585706666667,0.0722,0.1401875,0.100591666666667,0.0743666666666667,0.0806,0.0987916666666667,0.167952376666667,0.102325,0.163752376666667,0.0878,0.118452379333333,0.109058333333333,0.131120833333333,0.08484,0.0835333333333333,0.0875733333333333,0.08374,0.09014,0.08674,0.09254,0.0878733333333333,0.0987666666666667,0.0923066666666667,0.0757526666666667,0.0816193333333333,0.0979526666666667,0.0908266666666667,0.0999466666666667,0.0890466666666667,0.08958,0.0885,0.0999133333333333,0.0728133333333333,0.0898,0.0895333333333333,0.0893666666666667,0.0859666666666667,0.09886,0.0932,0.0957333333333333,0.0915,0.0955333333333333,0.08868,0.0876,0.0804866666666667,0.0897533333333333,0.0850333333333333,0.0814,0.0873,0.0879,0.101386666666667,0.0870666666666667,0.0942,0.0940333333333333,0.0664666666666667,0.0923133333333333,0.0909733333333333,0.0906663333333333,0.08386,0.0901733333333333,0.0977266666666667,0.0935133333333333,0.0878266666666667,0.0737996666666667,0.0833666666666667,0.09198,0.06468,0.0859266666666667,0.0788996666666667,0.09214,0.09914
"3",4,0.117,0.208026666666667,0.123,0.0751266666666667,0.0934333333333333,0.0893666666666667,0.120166666666667,0.107966666666667,0.1049,0.104666666666667,0.0829266666666667,0.128933333333333,0.1182,0.1127,0.228993333333333,0.144366666666667,0.107993333333333,0.23106,0.227226666666667,0.151793333333333,0.109566666666667,0.130066666666667,0.132133333333333,0.1119,0.123833333333333,0.117866666666667,0.152733333333333,0.120766666666667,0.103733333333333,0.165554166666667,0.13524762,0.103425,0.112966666666667,0.110047622,0.1198,0.114280955333333,0.1158,0.151633333333333,0.107633333333333,0.134680953333333,0.0973875,0.08813,0.109558333333333,0.0868633333333333,0.0876633333333333,0.0921633333333333,0.09063,0.105363333333333,0.0930966666666667,0.119825,0.0981966666666667,0.1159,0.112333333333333,0.124066666666667,0.0838266666666667,0.0891766666666667,0.0804766666666667,0.0808766666666667,0.0901433333333333,0.0893766666666667,0.0808503333333333,0.0901766666666667,0.0895766666666667,0.09071,0.0886766666666667,0.102193333333333,0.0955433333333333,0.0986433333333333,0.09604,0.0971433333333333,0.0952836666666667,0.0891533333333333,0.0904533333333333,0.0934533333333333,0.0877533333333333,0.0898533333333333,0.08952,0.0875866666666667,0.10482,0.08592,0.0934533333333333,0.09222,0.0946163333333333,0.0899866666666667,0.0925,0.0933466666666667,0.0854933333333333,0.0913666666666667,0.0913933333333333,0.09402,0.0843933333333333,0.0915133333333333,0.102716333333333,0.0885866666666667,0.074117,0.0795933333333333,0.08898,0.0920666666666667,0.0995
"4",6,0.319433333333333,0.236866333333333,0.134833333333333,0.0834266666666667,0.127233333333333,0.0914666666666667,0.108566666666667,0.148266666666667,0.107733333333333,0.0992666666666667,0.0864266666666667,0.1304,0.0982333333333333,0.106866666666667,0.299133,0.685,0.09866,0.296666333333333,0.284299666666667,0.190633,0.108066666666667,0.130333333333333,0.107333333333333,0.106833333333333,0.122966666666667,0.118666666666667,0.567733333333333,0.117633333333333,0.1027,0.499629166666667,0.4386,0.0781833333333334,0.128866666666667,0.172866666666667,0.1189,0.188166666666667,0.116133333333333,0.5651,0.130633333333333,0.3186,0.1038625,0.0920766666666667,0.08965,0.0899433333333333,0.0907433333333333,0.0937433333333333,0.0937433333333333,0.178576666666667,0.118076666666667,0.09875,0.0959766666666667,0.1055,0.0933,0.1018,0.08566,0.0982866666666667,0.0893866666666667,0.08912,0.09297,0.103953333333333,0.0840333333333333,0.0915033333333333,0.09227,0.09047,0.0908366666666667,0.09756,0.0962033333333333,0.0950033333333333,0.0954366666666667,0.0995033333333333,0.0990333333333333,0.09226,0.0916,0.0919333333333333,0.08866,0.120693333333333,0.09096,0.0932933333333333,0.101333333333333,0.0867266666666667,0.0942266666666667,0.0941933333333333,0.09086,0.09458,0.0981133333333333,0.11675,0.0863266666666667,0.0975466666666667,0.09116,0.0987133333333333,0.0845933333333333,0.0485166666666667,0.09636,0.0921133333333333,0.0822,0.0829266666666667,0.10175,0.0938133333333333,0.10108
"5",8,1.2685,0.217433333333333,0.372366666666667,0.0739333333333333,0.234633333333333,0.0979,0.207533333333333,0.2579,0.271466666666667,0.129966666666667,0.0792333333333334,0.502766666666667,0.123666666666667,0.2869,0.404366666666667,1.29823333333333,0.0953333333333334,0.287766666666667,0.249566666666667,0.1887,0.0964,0.379766666666667,0.08445,0.0827833333333333,0.133083333333333,0.117116666666667,1.2939,0.131283333333333,0.109033333333333,0.919166666666667,1.24369966666667,0.072467,0.4737,0.687166633333333,0.100583333333333,0.585766666666667,0.09755,0.920466666666667,0.116516666666667,0.773166633333333,0.0998333333333333,0.102486666666667,0.0876336666666667,0.0916866666666667,0.0976866666666667,0.0980866666666667,0.10202,0.329986666666667,0.266286666666667,0.0973336666666667,0.0967533333333333,0.04368,0.07608,0.0989466666666667,0.09892,0.12552,0.09582,0.103686666666667,0.0940566666666667,0.139286666666667,0.0878166666666667,0.09419,0.105556666666667,0.0950566666666667,0.09399,0.09862,0.101823333333333,0.09619,0.0971233333333333,0.100456666666667,0.09495,0.11736,0.1019,0.0863,0.0967266666666667,0.219193333333333,0.09276,0.118926666666667,0.0941,0.0895933333333333,0.11016,0.0984933333333333,0.0856466666666667,0.101786666666667,0.114233333333333,0.10602,0.0810866666666667,0.123733333333333,0.0947533333333333,0.0956866666666667,0.0837533333333333,0.0509866666666667,0.10148,0.0992533333333333,0.0801833333333333,0.0821533333333333,0.13132,0.0983,0.100733333333333
"6",10,1.37116666666667,0.242883333333333,0.838,0.0727166666666667,0.441533333333333,0.136266666666667,0.332266666666667,0.442633333333333,0.8656,0.142566666666667,0.0818166666666667,1.1769,0.261766666666667,0.515833333333333,0.75565,1.5115,0.10955,0.397383333333333,0.26355,0.20845,0.0742666666666667,0.8082,0.0974952366666667,0.0920285703333333,0.327695266666667,0.272861933333333,1.42476666666667,0.445361933333333,0.0999333333333333,1.00643336666667,1.45800966666667,0.06926,0.627133333333333,1.32707633333333,0.0909619033333333,1.19877633333333,0.153861903333333,1.14943333333333,0.2494286,1.20897633333333,0.0789000023333333,0.137156666666667,0.11386,0.0901566666666667,0.137223333333333,0.108223333333333,0.115556666666667,0.850823333333333,0.935156666666667,0.12036,0.102823333333333,0.0636066666666667,0.0756733333333333,0.145806666666667,0.1129,0.232163333333333,0.106363333333333,0.12733,0.11073,0.247396666666667,0.135893333333333,0.105896666666667,0.17833,0.0925966666666667,0.10032,0.112133333333333,0.12043,0.118396666666667,0.10173,0.12373,0.0979933333333333,0.184553333333333,0.287266333333333,0.100133,0.11392,0.420053333333333,0.108753333333333,0.159753333333333,0.105933,0.0896533333333333,0.14052,0.107086666666667,0.156893333333333,0.129246666666667,0.153313333333333,0.145826666666667,0.0857333333333333,0.21098,0.0962,0.101746666666667,0.0922666666666667,0.0633933333333333,0.229226666666667,0.14068,0.09476,0.108166666666667,0.299526666666667,0.123746666666667,0.0991133333333333
"7",12,1.43483333333333,0.161086,1.32523333333333,0.0730466666666667,0.569633333333333,0.1835,0.5066,0.599133333333333,1.2912,0.233533333333333,0.0797466666666667,1.34656666666667,0.492366666666667,1.0075,1.241986,1.5863,0.191813333333333,0.501619333333333,0.239086,0.528619333333333,0.1161,1.02406666666667,0.169,0.127,0.473633333333333,0.323033333333333,1.46296666666667,1.2111,0.1093,1.10993333333333,1.55201666666667,0.0737496666666667,0.8298,1.51621666666667,0.146333333333333,1.34681666666667,0.538233333333333,1.31466666666667,0.334133333333333,1.49628333333333,0.1344,0.266706666666667,0.205449666666667,0.0900733333333333,0.27414,0.135006666666667,0.201006666666667,1.33874,1.25808333333333,0.217216333333333,0.138806666666667,0.1277,0.118233333333333,0.402533333333333,0.14328,0.594796666666667,0.148863333333333,0.24913,0.195056666666667,0.562096666666667,0.363616666666667,0.18099,0.477256666666667,0.0984566666666667,0.144923333333333,0.13288,0.22999,0.21859,0.136623333333333,0.313123333333333,0.101183333333333,0.217061666666667,0.614213333333333,0.16268,0.0972266666666667,0.563447333333333,0.144139333333333,0.112662666666667,0.227046666666667,0.0201266666666667,0.154339333333333,0.0969933333333333,0.579433,0.16846,0.269033333333333,0.33152,0.07728,0.4107,0.103813333333333,0.100126666666667,0.0845466666666667,0.115886666666667,1.081633,0.21476,0.130283333333333,0.132046666666667,0.706686666666667,0.217666666666667,0.103
"8",16,1.48933333333333,0.116223666666667,1.49746666666667,0.0700866666666667,0.9637,0.357166666666667,0.825966666666667,0.772666666666667,1.45926666666667,0.801033333333333,0.0792533333333333,1.4165,0.890933333333333,1.444,1.61089033333333,1.6084,1.18708666666667,0.645257,0.710923666666667,1.298257,0.1055,1.40293333333333,0.5789625,0.110529166666667,0.6481625,0.607829166666667,1.57846666666667,1.44306233333333,0.103233333333333,1.28546666666667,1.64173333333333,0.305316333333333,1.14916666666667,1.5371,0.1145625,1.48266666666667,1.34229566666667,1.44406666666667,0.741429166666667,1.62033333333333,0.906633333333333,0.71581,0.883049666666667,0.137843333333333,0.714936666666667,0.352476666666667,0.814976666666667,1.48251,1.38832,1.36921633333333,0.476666666666667,0.756186666666667,0.980153333333333,1.36238666666667,0.546873333333333,1.23809333333333,0.485526666666667,1.05236,1.04772666666667,1.12098333333333,1.19628666666667,0.804293333333333,1.06832666666667,0.17076,0.66036,0.550573333333333,0.938893333333333,0.713126666666667,0.46056,1.33692666666667,0.186686666666667,0.929586666666667,1.19358333333333,1.13551666666667,0.440453333333333,0.923086666666667,0.25082,0.52682,1.30401666666667,0.100286666666667,0.766686666666667,0.10812,1.15096,0.422733333333333,0.73606,1.08328,0.143406666666667,0.932593333333333,0.33564,0.0987333333333333,0.182773333333333,0.69798,1.34539333333333,0.684666666666667,0.978353333333333,0.941606666666667,1.00148,0.757993333333333,0.180993333333333
"9",20,1.56,0.126766666666667,1.59523333333333,0.0731133333333333,1.26563333333333,0.5778,1.17966666666667,1.09716666666667,1.57166666666667,1.341,0.07698,1.57873333333333,1.35083333333333,1.57563333333333,1.6391,1.67786666666667,1.42824666666667,0.729466666666667,1.2328,1.44613333333333,0.101766666666667,1.5812,0.904123833333333,0.130390473333333,0.7748238,0.8066238,1.66,1.578457,0.2836,1.42716666666667,1.68096666666667,0.733717,1.4516,1.58643333333333,0.144790476666667,1.48723333333333,1.50652366666667,1.61113333333333,1.08985706666667,1.71,1.45846666666667,0.98858,1.31518366666667,0.992713333333333,1.38164666666667,0.85548,1.31165,1.50978666666667,1.37693666666667,1.56395033333333,1.00868,1.18976666666667,1.43453333333333,1.61323333333333,0.97436,1.32561666666667,1.09365,1.17198333333333,1.51735333333333,1.26735666666667,1.55532666666667,1.45038666666667,1.40468666666667,0.468653333333333,1.35302,1.11566,1.30948666666667,1.14142,1.29862,1.54228666666667,0.678326666666667,1.12714,1.40684,1.31040666666667,0.977206666666667,1.25618,0.94834,1.23797333333333,1.51144,0.417373333333333,1.07750666666667,0.410573333333333,1.48412666666667,0.806833333333333,0.997426666666667,1.2858,0.93036,1.07624,0.63946,0.0965666666666667,1.08442666666667,1.18183333333333,1.54749333333333,1.01113333333333,1.50369333333333,1.20969333333333,1.3037,1.06844,0.699806666666667
"10",24,1.38123333333333,0.142666666666667,1.63923333333333,0.0816066666666667,1.26513333333333,0.501933333333333,1.40476666666667,1.20656666666667,1.58566666666667,1.48576666666667,0.0967733333333334,1.5968,1.44873333333333,1.61403333333333,1.57646666666667,1.52146666666667,1.49100666666667,0.7889,1.36023333333333,1.39473333333333,0.104933333333333,1.5987,1.0156375,0.0816041666666667,0.8807375,0.909504166666667,1.6688,1.61323766666667,1.21173333333333,1.51641333333333,1.64909166666667,0.927566666666667,1.53746666666667,1.57665833333333,0.0829708333333333,1.47445833333333,1.49047066666667,1.62676666666667,1.40133733333333,1.65379166666667,1.43028,1.25525333333333,1.49503333333333,1.36148666666667,1.40662,1.01438666666667,1.46108,1.53807,1.35250666666667,1.6947,1.19588666666667,1.50032666666667,1.54522666666667,1.71302666666667,1.24938,1.35235,1.18441666666667,1.26555,1.67067,1.27306,1.65778,1.61640333333333,1.61617,0.610536666666667,1.55323666666667,1.23288,1.40887,1.41893666666667,1.61330333333333,1.61300333333333,1.11104666666667,1.31198666666667,1.58106666666667,1.35323333333333,1.04168666666667,1.22796666666667,1.13585333333333,1.30512,1.5707,0.625253333333333,1.21468666666667,0.648786666666667,1.60694166666667,1.23200666666667,1.01867333333333,1.36,1.23701333333333,1.20367333333333,0.943949333333333,0.09784,1.19621333333333,1.39963333333333,1.645075,1.18137333333333,1.66248,1.25581333333333,1.4547,1.16507333333333,0.84084
