"","t","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31","J32","J33","J34","J35","J36","J37","J38","J39","J40","J41","J42","J43","J44","J45","J46","J47","J48","J49","J50","J51","J52","J53","J54","J55","J56","J57","J58","J59","J60","J61","J62","J63","J64","J65","J66","J67","J68","J69","J70","J71","J72","J73","J74","J75","J76","J77","J78","J79","J80","J81","J82","J83","J84","J85","J86","J87","J88","J89","J90","J91","J92","J93","J94","J95","J96","J97","J98","J99"
"1",1,0.132933333333333,0.115137666666667,0.118433333333333,0.0730133333333334,0.1373,0.1234,0.1173,0.167033333333333,0.1091,0.1072,0.0842133333333333,0.1071,0.143833333333333,0.102866666666667,0.107604333333333,0.1305,0.0996133333333333,0.119171,0.103704333333333,0.107004333333333,0.100109524666667,0.1026,0.0996761903333333,0.101642858,0.100442858,0.0975095256666667,0.0932,0.099842858,0.1102,0.0500904733333333,0.119833333333333,0.073175,0.107066666666667,0.0961,0.0946095256666667,0.0893333333333333,0.0919761913333333,0.116533333333333,0.0900761923333333,0.113766666666667,0.0901904743333333,0.09027,0.0823416666666667,0.0875366666666667,0.0881366666666667,0.0906033333333333,0.08437,0.0891033333333333,0.0877033333333333,0.105075,0.09557,0.0910466666666667,0.0871133333333333,0.102946666666667,0.10076,0.0895066666666667,0.09494,0.0880066666666667,0.0964433333333333,0.0908066666666667,0.08225,0.103243333333333,0.102776666666667,0.101476666666667,0.09861,0.10706,0.0974433333333333,0.09311,0.09551,0.101143333333333,0.0996833333333334,0.0891933333333333,0.080967,0.077967,0.0848266666666667,0.0837266666666667,0.0833933333333333,0.0844266666666667,0.101100333333333,0.0925266666666667,0.0874266666666667,0.0948933333333333,0.0827133333333333,0.0912733333333333,0.08698,0.0944733333333334,0.108826666666667,0.0899133333333333,0.10176,0.10034,0.109693333333333,0.0757733333333333,0.09688,0.0919066666666667,0.07135,0.107826666666667,0.0808066666666667,0.08998,0.0959466666666667
"2",2,0.1221,0.113671,0.1152,0.0739066666666667,0.0971333333333333,0.0974666666666667,0.1113,0.0979,0.103333333333333,0.0986,0.0831066666666666,0.102266666666667,0.106533333333333,0.100233333333333,0.107570666666667,0.102466666666667,0.0970733333333333,0.121804333333333,0.094437,0.105104,0.078,0.0979333333333333,0.0777,0.0777666666666667,0.0724666666666667,0.0690666666666667,0.0961666666666667,0.0717666666666667,0.107433333333333,0.169554166666667,0.1191,0.0732666666666667,0.0461666666666667,0.1725,0.0677,0.167666666666667,0.0674666666666667,0.0764,0.1098,0.193,0.1242875,0.0965866666666667,0.0806333333333333,0.0941866666666667,0.0925866666666667,0.0939866666666667,0.0886866666666667,0.0975866666666667,0.0915866666666667,0.1036,0.0969533333333333,0.0740526666666667,0.079686,0.0971193333333333,0.110446666666667,0.0969466666666667,0.0938466666666667,0.0956466666666667,0.09978,0.0983133333333333,0.0766466666666667,0.106613333333333,0.0992466666666667,0.101713333333333,0.100813333333333,0.10718,0.0993466666666667,0.0962466666666667,0.0961133333333333,0.10228,0.0958133333333333,0.0975666666666667,0.0828866666666667,0.0873866666666667,0.0948,0.0851666666666667,0.0871,0.0869,0.101253333333333,0.0950333333333333,0.0857666666666667,0.0981333333333333,0.0698666666666667,0.0869533333333333,0.0928466666666667,0.0918996666666667,0.10768,0.09028,0.0963466666666667,0.0958866666666667,0.104746666666667,0.083833,0.0919333333333333,0.0877533333333333,0.06418,0.10628,0.0847996666666667,0.09108,0.09748
"3",4,0.1046,0.120633333333333,0.113166666666667,0.0779266666666667,0.0895333333333333,0.0896666666666667,0.0977,0.0951,0.0875666666666667,0.0830333333333333,0.0866933333333333,0.0821333333333333,0.101633333333333,0.0890333333333333,0.115933333333333,0.0935,0.10306,0.141766666666667,0.1386,0.124666666666667,0.0581857166666667,0.0950333333333333,0.0451190433333333,0.04615238,0.0481857133333333,0.0457857133333333,0.107366666666667,0.04778571,0.0937333333333333,0.1428875,0.149275,0.0967583333333333,0.104666666666667,0.119575,0.0473190466666667,0.118675,0.0483857133333333,0.167633333333333,0.130552376666667,0.226008333333333,0.0906875,0.08802,0.100125,0.0916866666666667,0.0908533333333333,0.0930533333333333,0.0863533333333333,0.106353333333333,0.0875533333333333,0.122325,0.09362,0.1041,0.0978666666666667,0.109333333333333,0.100766666666667,0.0896466666666667,0.0917466666666667,0.0899133333333333,0.09302,0.0940466666666667,0.0826503333333333,0.09582,0.0906866666666667,0.0944533333333333,0.0923866666666667,0.1087,0.0925533333333333,0.0932866666666667,0.0912866666666667,0.0983866666666667,0.101483666666667,0.09786,0.0902866666666667,0.09212,0.09106,0.09156,0.0879266666666667,0.09076,0.104453333333333,0.0955266666666667,0.0888933333333333,0.0940933333333333,0.0941163333333333,0.09114,0.0951533333333333,0.10348,0.1102,0.09222,0.0972333333333333,0.0713066666666667,0.103033333333333,0.08598,0.106216333333333,0.0906733333333333,0.0729503333333334,0.103433333333333,0.08168,0.0926866666666667,0.09882
"4",6,0.103266666666667,0.126713,0.1268,0.0861266666666667,0.0877666666666667,0.0914666666666667,0.107033333333333,0.126666666666667,0.100933333333333,0.0841333333333333,0.0892266666666667,0.0877333333333333,0.103233333333333,0.104033333333333,0.129346333333333,0.096,0.0963933333333333,0.143879666666667,0.127713,0.127813,0.110404166666667,0.127866666666667,0.121270833333333,0.121404166666667,0.1190375,0.1189375,0.199133333333333,0.1210375,0.0898,0.0850958333333333,0.230890433333333,0.0774166666666667,0.123133333333333,0.16175714,0.118504166666667,0.080257141,0.1221375,0.635,0.147004166666667,0.323590466666667,0.0933958333333333,0.0923966666666667,0.0870166666666667,0.09113,0.0950966666666667,0.0932966666666667,0.09453,0.152796666666667,0.09313,0.09885,0.0970633333333333,0.0938333333333334,0.0905333333333334,0.101366666666667,0.108366666666667,0.0875333333333333,0.0911666666666667,0.0893,0.0889366666666667,0.100466666666667,0.084,0.0897366666666667,0.0873366666666667,0.0883033333333333,0.08827,0.1111,0.08987,0.08957,0.0920033333333333,0.0956366666666667,0.104166666666667,0.102313333333333,0.0943666666666667,0.0880666666666667,0.09358,0.10468,0.0904133333333333,0.0976466666666667,0.103866666666667,0.100313333333333,0.0905133333333333,0.0985133333333333,0.09076,0.0907666666666667,0.0988533333333333,0.102083333333333,0.117366666666667,0.0940533333333333,0.0949333333333333,0.0740333333333333,0.104266666666667,0.0896833333333334,0.10216,0.0893,0.0772666666666667,0.110633333333333,0.10005,0.0944866666666667,0.0995866666666667
"5",8,0.1087,0.119233333333333,0.251333333333333,0.0855,0.0990333333333333,0.103366666666667,0.140866666666667,0.1987,0.190133333333333,0.1051,0.0918333333333334,0.1218,0.108366666666667,0.226666666666667,0.179433333333333,0.106533333333333,0.100833333333333,0.144033333333333,0.125466666666667,0.120566666666667,0.125647623333333,0.312,0.0715476233333333,0.0594809533333333,0.0613476233333333,0.0747809566666667,0.715166666666667,0.05891429,0.1081,0.1097,0.831766666666667,0.0717003333333333,0.1814,0.451733333333333,0.0577809533333333,0.1462,0.06211429,0.951566666666667,0.083047622,0.645566666666667,0.0881,0.09548,0.084167,0.09318,0.0956133333333333,0.0952133333333333,0.09518,0.244446666666667,0.0911466666666667,0.092667,0.0953133333333333,0.0816466666666667,0.08888,0.09498,0.0979533333333333,0.08688,0.09488,0.09568,0.0958833333333333,0.117813333333333,0.08445,0.101983333333333,0.115683333333333,0.0958833333333333,0.0986166666666667,0.09922,0.0982166666666667,0.0942166666666667,0.0990166666666667,0.0989333333333333,0.10095,0.1001,0.0940666666666667,0.0843666666666667,0.0936,0.145133333333333,0.0956333333333333,0.103766666666667,0.0959666666666667,0.0973,0.093,0.0959,0.0858133333333333,0.0891733333333333,0.101306666666667,0.101686666666667,0.100853333333333,0.0954066666666667,0.09262,0.0757733333333333,0.09572,0.08302,0.0995466666666667,0.0849733333333333,0.0780833333333333,0.0968866666666667,0.09872,0.09364,0.10114
"6",10,0.1063,0.13734,0.6043,0.0773833333333333,0.0935,0.0974333333333333,0.227,0.277366666666667,0.625266666666667,0.123166666666667,0.0837166666666667,0.2048,0.1017,0.5716,0.257973333333333,0.104833333333333,0.09395,0.11584,0.09364,0.0973066666666667,0.0787523766666667,0.797766666666667,0.07778571,0.0796190433333333,0.0850190446666667,0.124119043333333,1.3674,0.07838571,0.100733333333333,0.107333334666667,1.22230666666667,0.0695266666666667,0.3122,1.11937333333333,0.0779190433333333,0.605106666666667,0.0834857113333333,1.17553333333333,0.140485716666667,1.15070666666667,0.0607333366666667,0.11689,0.0834266666666667,0.0974233333333333,0.10469,0.104456666666667,0.122623333333333,0.516556666666667,0.0963233333333333,0.0960266666666667,0.10079,0.0910066666666667,0.108506666666667,0.102206666666667,0.0898133333333333,0.0959666666666667,0.106366666666667,0.1205,0.10316,0.176166666666667,0.08446,0.11126,0.178626666666667,0.09626,0.10236,0.0925466666666667,0.10596,0.0944933333333333,0.101326666666667,0.10116,0.105293333333333,0.182153333333333,0.173166333333333,0.096433,0.11392,0.420053333333333,0.108753333333333,0.159753333333333,0.101966333333333,0.09352,0.14052,0.107086666666667,0.132293333333333,0.112266666666667,0.0904933333333333,0.10596,0.09398,0.08906,0.0909466666666667,0.0787,0.09238,0.0843933333333333,0.126026666666667,0.0935666666666667,0.0883933333333333,0.0952133333333333,0.142426666666667,0.0878266666666667,0.09716
"7",12,0.0992333333333333,0.0762833333333333,1.00346666666667,0.0775466666666667,0.0908333333333333,0.0921,0.5033,0.381933333333333,1.3497,0.2177,0.0835133333333333,0.840866666666667,0.0953666666666667,1.0161,0.75525,0.0890666666666667,0.0969133333333333,0.102516666666667,0.08095,0.0963166666666667,0.098828571,1.03356666666667,0.0915619043333333,0.0925952373333333,0.100828571,0.304061933333333,1.44183333333333,0.0949285706666667,0.115233333333333,0.00573333333333334,1.47458,0.0705163333333333,0.5478,1.45354666666667,0.0941952373333333,1.02488,0.096928571,1.30106666666667,0.268995266666667,1.28071333333333,0.0950666666666667,0.184163333333333,0.090683,0.09313,0.123596666666667,0.112496666666667,0.173763333333333,1.13899666666667,0.09483,0.104016333333333,0.104396666666667,0.1174,0.192733333333333,0.118233333333333,0.125,0.0933166666666667,0.123683333333333,0.151816666666667,0.12934,0.267816666666667,0.08475,0.14094,0.34474,0.09194,0.126873333333333,0.1115,0.14474,0.0947066666666667,0.120106666666667,0.10164,0.11095,0.13,0.40168,0.129746666666667,0.101066666666667,0.5252,0.1423,0.174533333333333,0.124613333333333,0.111366666666667,0.138966666666667,0.0995333333333333,0.277799666666667,0.13976,0.0935,0.133886666666667,0.0990666666666667,0.0881333333333333,0.0956,0.0835933333333333,0.101933333333333,0.0984866666666667,0.223333,0.0964266666666667,0.115516666666667,0.1075,0.303786666666667,0.0884666666666667,0.0964333333333333
"8",16,0.105566666666667,0.09573,1.42213333333333,0.0760866666666666,0.0924666666666667,0.0903,0.765533333333333,0.599233333333333,1.46846666666667,0.675833333333333,0.0829866666666667,1.3606,0.0959333333333333,1.43186666666667,1.29099566666667,0.104933333333333,0.101853333333333,0.120162333333333,0.0955966666666667,0.103995666666667,0.0977166663333333,1.31826666666667,0.100649999666667,0.103316666333333,0.142949996666667,0.672116666666667,1.6202,0.103749998666667,0.1001,0.0650666666666667,1.58322666666667,0.070183,0.804533333333333,1.53926,0.0976166663333333,1.40352666666667,0.7546833,1.46056666666667,0.703849966666667,1.55812666666667,0.0981333333333333,0.465213333333333,0.229783,0.0942466666666667,0.382846666666667,0.230646666666667,0.410113333333333,1.30554666666667,0.0939466666666667,0.365349666666667,0.209913333333333,0.684053333333333,1.03278666666667,0.55992,0.382913333333333,0.09713,0.227996666666667,0.39613,0.430633333333333,0.78373,0.100886666666667,0.3692,0.824133333333333,0.110066666666667,0.378333333333333,0.254046666666667,0.4735,0.125433333333333,0.265866666666667,0.162,0.23522,0.339666666666667,1.01948333333333,0.949916666666667,0.1566,1.15766666666667,0.2636,0.3978,0.86175,0.206133333333333,0.344266666666667,0.115066666666667,1.09229333333333,0.330526666666667,0.159966666666667,0.503346666666667,0.0987133333333333,0.0900666666666667,0.0942466666666667,0.0817266666666667,0.117313333333333,0.27718,1.18539333333333,0.13346,0.709286666666667,0.20868,0.793313333333333,0.0926666666666667,0.102866666666667
"9",20,0.105266666666667,0.115499666666667,1.65163333333333,0.0745133333333333,0.1046,0.0885333333333333,1.04293333333333,1.0412,1.5697,1.07386666666667,0.0826466666666667,1.52923333333333,0.0954333333333333,1.5672,1.62656633333333,0.0972666666666667,0.18158,0.151933,0.117866333333333,0.150899666666667,0.106090476333333,1.56696666666667,0.105857143,0.110590475333333,0.461290433333333,0.8091905,1.7627,0.113490474333333,0.191433333333333,0.1076,1.66959166666667,0.075417,1.2219,1.60355833333333,0.105990476333333,1.51479166666667,1.32299033333333,1.63573333333333,1.32299033333333,1.68185833333333,0.0905333333333333,0.818586666666667,1.067317,0.0928533333333333,1.11438666666667,0.613153333333333,1.09958666666667,1.49712,0.0923533333333333,1.35005033333333,0.585186666666667,1.55136666666667,1.54983333333333,1.53713333333333,0.84266,0.0960266666666667,0.724126666666667,1.01422666666667,1.22372,1.16003,0.181393333333333,1.23835333333333,1.14245333333333,0.258353333333333,1.27328666666667,0.967293333333333,1.00678666666667,0.362953333333333,0.776953333333333,0.84312,1.14819333333333,1.13536,1.36190666666667,1.28670666666667,0.68536,1.20988666666667,0.735026666666667,1.19369333333333,1.44064,0.42176,1.11469333333333,0.183793333333333,1.43339333333333,0.837006666666667,0.548586666666667,1.1588,0.108393333333333,0.0870533333333333,0.09256,0.08124,0.227493333333333,0.9322,1.48589333333333,0.280773333333333,1.41846,1.03259333333333,1.0128,0.121786666666667,0.155553333333333
"10",24,0.112066666666667,0.0776633333333333,1.6413,0.08244,0.193033333333333,0.0982,1.3794,1.4378,1.5683,1.41606666666667,0.08864,1.57033333333333,0.1033,1.58723333333333,1.65516233333333,0.105933333333333,0.90824,0.201195666666667,0.07663,0.695995666666667,0.112533333333333,1.6012,0.107,0.114166666666667,0.538833333333333,0.9411,1.7588,0.1042,0.8976,0.130446666666667,1.640825,0.0804666666666667,1.4678,1.59875833333333,0.0965,1.48689166666667,1.48686666666667,1.64626666666667,1.4166,1.64835833333333,0.0313466666666667,1.04022666666667,1.33763333333333,0.0888266666666667,1.31979333333333,0.975993333333333,1.42119333333333,1.53722666666667,0.0957266666666667,1.6303,0.98006,1.69776,1.67442666666667,1.67509333333333,1.19405333333333,0.09427,1.11197,1.18420333333333,1.41317333333333,1.21241333333333,0.66508,1.44854,1.21304,0.505406666666667,1.45220666666667,1.15895333333333,1.18234,0.727106666666667,1.41174,1.44040666666667,1.62288,1.25527333333333,1.526,1.3324,1.03854,1.1968,1.09484,1.27647333333333,1.56863333333333,0.700173333333333,1.27314,0.332706666666667,1.57210833333333,0.954073333333333,1.03624666666667,1.17503333333333,0.303453333333333,0.10778,0.100186666666667,0.07504,1.07772,1.24016666666667,1.59790833333333,0.743773333333333,1.63598,1.18822,1.25623333333333,0.25008,0.485013333333333
